Participant,Dimension,Item,Reponse
15,Image Esperee ID Pro,IEIP1,4
15,Image Esperee ID Pro,IEIP2,4
15,Image Esperee ID Pro,IEIP3,5
15,Image Esperee ID Pro,IEIP4,3
15,Motivation,MOT1,5
15,Motivation,MOT2,5
15,Motivation,MOT3,4
15,Motivation,MOT4,5
15,Motivation,MOT5,5
15,Motivation,MOT6,5
15,Motivation,MOT7,5
15,Motivation,MOT8,5
15,Motivation,MOT9,5
15,Intention Adoption,INTU1,5
16,Leadership,LDS2,4
16,Leadership,LDS3,3
16,Leadership,LDS4,3
16,Leadership,LDS5,5
16,Leadership,LDS6,3
16,Normes Subjectives,NSUB1,4
16,Normes Subjectives,NSUB2,3
16,Normes Subjectives,NSUB3,2
16,Normes Subjectives,NSUB4,4
16,Normes Subjectives,NSUB5,2
16,Conditions Facilitantes,CF1,4
16,Conditions Facilitantes,CF2,4
16,Conditions Facilitantes,CF3,1
16,Conditions Facilitantes,CF4,5
16,Conditions Facilitantes,CF5,5
16,Conditions Facilitantes,CF6,2
16,Conditions Facilitantes,CF7,4
16,Conditions Facilitantes,CF8,4
16,Attente Face Effort,AFE1,3
16,Attente Face Effort,AFE2,4
16,Attente Face Effort,AFE4,4
16,Attente Face Effort,AFE5,4
16,Attente Face Performance,APF1,3
16,Attente Face Performance,APF2,3
16,Attente Face Performance,APF3,5
16,Attente Face Performance,APF4,4
16,Attente Face Performance,APF5,5
16,Attente Face Performance,APF6,3
16,Image Esperee ID Pro,IEIP1,5
16,Image Esperee ID Pro,IEIP2,5
16,Image Esperee ID Pro,IEIP3,5
16,Image Esperee ID Pro,IEIP4,2
16,Motivation,MOT1,3
16,Motivation,MOT2,4
16,Motivation,MOT3,4
16,Motivation,MOT4,4
16,Motivation,MOT5,5
16,Motivation,MOT6,5
16,Motivation,MOT7,5
16,Motivation,MOT8,5
16,Motivation,MOT9,4
16,Intention Adoption,INTU1,3
17,Leadership,LDS2,3
17,Leadership,LDS3,3
17,Leadership,LDS4,3
17,Leadership,LDS5,3
17,Leadership,LDS6,2
17,Normes Subjectives,NSUB1,3
17,Normes Subjectives,NSUB2,2
17,Normes Subjectives,NSUB3,2
17,Normes Subjectives,NSUB4,3
17,Normes Subjectives,NSUB5,3
17,Conditions Facilitantes,CF1,4
17,Conditions Facilitantes,CF2,4
17,Conditions Facilitantes,CF3,1
17,Conditions Facilitantes,CF4,4
17,Conditions Facilitantes,CF5,5
17,Conditions Facilitantes,CF6,3
17,Conditions Facilitantes,CF7,3
17,Conditions Facilitantes,CF8,3
17,Attente Face Effort,AFE1,3
17,Attente Face Effort,AFE2,3
17,Attente Face Effort,AFE4,5
17,Attente Face Effort,AFE5,4
17,Attente Face Performance,APF1,3
17,Attente Face Performance,APF2,3
17,Attente Face Performance,APF3,4
17,Attente Face Performance,APF4,4
17,Attente Face Performance,APF5,4
17,Attente Face Performance,APF6,3
17,Image Esperee ID Pro,IEIP1,5
17,Image Esperee ID Pro,IEIP2,3
17,Image Esperee ID Pro,IEIP3,4
17,Image Esperee ID Pro,IEIP4,2
17,Motivation,MOT1,3
17,Motivation,MOT2,3
17,Motivation,MOT3,4
17,Motivation,MOT4,3
17,Motivation,MOT5,4
17,Motivation,MOT6,5
17,Motivation,MOT7,4
17,Motivation,MOT8,5
17,Motivation,MOT9,4
17,Intention Adoption,INTU1,5
18,Leadership,LDS2,1
18,Leadership,LDS3,2
18,Leadership,LDS4,3
18,Leadership,LDS5,4
18,Leadership,LDS6,3
18,Normes Subjectives,NSUB1,4
18,Normes Subjectives,NSUB2,1
18,Normes Subjectives,NSUB3,1
18,Normes Subjectives,NSUB4,1
18,Normes Subjectives,NSUB5,5
18,Conditions Facilitantes,CF1,4
18,Conditions Facilitantes,CF2,4
18,Conditions Facilitantes,CF3,1
18,Conditions Facilitantes,CF4,5
18,Conditions Facilitantes,CF5,5
18,Conditions Facilitantes,CF6,3
18,Conditions Facilitantes,CF7,2
18,Conditions Facilitantes,CF8,5
18,Attente Face Effort,AFE1,3
18,Attente Face Effort,AFE2,3
18,Attente Face Effort,AFE4,4
18,Attente Face Effort,AFE5,5
18,Attente Face Performance,APF1,3
18,Attente Face Performance,APF2,3
18,Attente Face Performance,APF3,5
18,Attente Face Performance,APF4,5
18,Attente Face Performance,APF5,3
18,Attente Face Performance,APF6,3
18,Image Esperee ID Pro,IEIP1,4
18,Image Esperee ID Pro,IEIP2,5
18,Image Esperee ID Pro,IEIP3,5
18,Image Esperee ID Pro,IEIP4,5
18,Motivation,MOT1,5
18,Motivation,MOT2,5
18,Motivation,MOT3,5
18,Motivation,MOT4,2
18,Motivation,MOT5,4
18,Motivation,MOT6,5
18,Motivation,MOT7,4
18,Motivation,MOT8,5
18,Motivation,MOT9,5
18,Intention Adoption,INTU1,4
19,Leadership,LDS2,4
19,Leadership,LDS3,3
19,Leadership,LDS4,3
19,Leadership,LDS5,5
19,Leadership,LDS6,2
19,Normes Subjectives,NSUB1,4
19,Normes Subjectives,NSUB2,2
19,Normes Subjectives,NSUB3,2
19,Normes Subjectives,NSUB4,4
19,Normes Subjectives,NSUB5,3
19,Conditions Facilitantes,CF1,5
19,Conditions Facilitantes,CF2,5
19,Conditions Facilitantes,CF3,1
19,Conditions Facilitantes,CF4,4
19,Conditions Facilitantes,CF5,5
19,Conditions Facilitantes,CF6,3
19,Conditions Facilitantes,CF7,4
19,Conditions Facilitantes,CF8,4
19,Attente Face Effort,AFE1,3
19,Attente Face Effort,AFE2,3
19,Attente Face Effort,AFE4,4
19,Attente Face Effort,AFE5,5
19,Attente Face Performance,APF1,3
19,Attente Face Performance,APF2,3
19,Attente Face Performance,APF3,3
19,Attente Face Performance,APF4,3
19,Attente Face Performance,APF5,3
19,Attente Face Performance,APF6,3
19,Image Esperee ID Pro,IEIP1,5
19,Image Esperee ID Pro,IEIP2,4
19,Image Esperee ID Pro,IEIP3,3
19,Image Esperee ID Pro,IEIP4,4
19,Motivation,MOT1,3
19,Motivation,MOT2,5
19,Motivation,MOT3,5
19,Motivation,MOT4,3
19,Motivation,MOT5,4
19,Motivation,MOT6,5
19,Motivation,MOT7,4
19,Motivation,MOT8,5
19,Motivation,MOT9,5
19,Intention Adoption,INTU1,4
20,Leadership,LDS2,3
20,Leadership,LDS3,3
20,Leadership,LDS4,3
20,Leadership,LDS5,3
20,Leadership,LDS6,2
20,Normes Subjectives,NSUB1,4
20,Normes Subjectives,NSUB2,3
20,Normes Subjectives,NSUB3,4
20,Normes Subjectives,NSUB4,4
20,Normes Subjectives,NSUB5,4
20,Conditions Facilitantes,CF1,4
